filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Bad Company - If You Needed Somebody.m4a,Bad Company,If You Needed Somebody,261.0,uploaded,2024-11-12 10:15:33,1698311049158,1698296164029
Bad Company - Stranger Stranger.m4a,Bad Company,Stranger Stranger,291.36,uploaded,2024-11-12 10:15:41,1698297355102,1698299498249
Bad Company - Walk Through Fire.m4a,Bad Company,Walk Through Fire,288.56,uploaded,2024-11-12 10:15:48,1698293643927,1698302617768
Barefoot Servants - Box of Miracles.m4a,Barefoot Servants,Box of Miracles,223.56,uploaded,2024-11-12 10:15:56,1698289710584,pending
Barenaked Ladies - One Week.m4a,Barenaked Ladies,One Week,169.76,uploaded,2024-11-12 10:16:01,1698332850735,1698295175866
Beastie Boys - Alive.m4a,Beastie Boys,Alive,228.87,uploaded,2024-11-12 10:16:08,1698314450062,1698296183214
Beastie Boys - Body Movin'.m4a,Beastie Boys,Body Movin',183.59,uploaded,2024-11-12 10:16:15,1698336145997,1698333789014
Beastie Boys - Intergalactic.m4a,Beastie Boys,Intergalactic,231.49,uploaded,2024-11-12 10:16:22,1698319504293,1698324023504
Beck - Jack-Ass.m4a,Beck,Jack-Ass,252.28,uploaded,2024-11-12 10:16:29,1698336251597,1698288282853
Beck - Loser.m4a,Beck,Loser,235.0,uploaded,2024-11-12 10:16:37,1698322720381,1698334610347
Beck - The New Pollution.m4a,Beck,The New Pollution,219.99,uploaded,2024-11-12 10:16:44,1698333848788,1698320845337
Beck - Tropicalia.m4a,Beck,Tropicalia,200.41,uploaded,2024-11-12 10:16:53,1698292578476,1698336527020
Beck - Where It's At.m4a,Beck,Where It's At,330.95,uploaded,2024-11-12 10:17:04,1698300013592,1698297037643
Ben Folds Five - Army.m4a,Ben Folds Five,Army,203.17,uploaded,2024-11-12 10:17:13,1698332965456,1698303091057
Ben Folds Five - Brick.m4a,Ben Folds Five,Brick,271.33,uploaded,2024-11-12 10:17:22,1698323284080,1698294086123
Better Than Ezra - At the Stars.m4a,Better Than Ezra,At the Stars,223.87,uploaded,2024-11-12 10:17:30,1698333899801,pending
Better Than Ezra - Desperately Wanting.m4a,Better Than Ezra,Desperately Wanting,277.49,uploaded,2024-11-12 10:17:36,1698287183501,1698321811021
Better Than Ezra - Good.m4a,Better Than Ezra,Good,185.09,uploaded,2024-11-12 10:17:43,1698337778028,1698321542324
Better Than Ezra - In the Blood.m4a,Better Than Ezra,In the Blood,272.64,uploaded,2024-11-12 10:17:50,1698327771851,pending
Better Than Ezra - King of New Orleans.m4a,Better Than Ezra,King of New Orleans,247.88,uploaded,2024-11-12 10:17:56,1698322595249,1698300986079
Big Audio Dynamite II - Rush.m4a,Big Audio Dynamite II,Rush,257.13,uploaded,2024-11-12 10:18:06,1698295720038,1698336292340
Big Head Todd & The Monsters - Bittersweet.m4a,Big Head Todd & The Monsters,Bittersweet,376.53,uploaded,2024-11-12 10:18:15,1698336925342,1698334264601
Big Head Todd & The Monsters - Broken Hearted Savior.m4a,Big Head Todd & The Monsters,Broken Hearted Savior,261.53,uploaded,2024-11-12 10:18:22,1698299814004,1698298314783
Billy Idol - Cradle of Love.m4a,Billy Idol,Cradle of Love,281.47,uploaded,2024-11-12 10:18:33,1698335262247,1698323445340
Billy Idol - Shock to the System.m4a,Billy Idol,Shock to the System,213.88,uploaded,2024-11-12 10:18:43,1698335551093,1698292972503
Billy Joel - I Go to Extremes.m4a,Billy Joel,I Go to Extremes,263.37,uploaded,2024-11-12 10:19:00,1698295453527,1698334343535
