file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut1_dbo_id,cut1_other_id,cut2_dbo_id,cut2_other_id,cut3_dbo_id,cut3_other_id,cut_time1,cut_time2,cut_time3
The Doobie Brothers - Dangerous.m4a,1698603081178,305.72,2024-12-02 17:43:34,30,10,3,1713260937080,1713259521237,1713266391670,1713262451186,1713258565332,1713554214603,1713558126683,1713551970917,1713556978883,1713556441809,1713551511797,81,203,258
The Fabulous Thunderbirds - Twist of the Knife.m4a,1698603375626,262.47,2024-12-02 17:43:38,30,10,3,1713259180504,1713261127069,1713259112768,1713262019269,1713261386053,1713550873247,1713557651035,1713554055832,1713556870848,1713551956539,1713554695100,118,140,240
The Fixx - How Much Is Enough.m4a,1698594018125,243.97,2024-12-02 17:43:43,30,10,3,1713264174133,1713260317819,1713260782968,1713258753376,1713259629562,1713554323165,1713552136515,1713554008227,1713553175375,1713557351827,1713557533413,93,106,230
The Flaming Lips - She Don't Use Jelly.m4a,1698606109243,220.29,2024-12-02 17:43:47,30,10,3,1713262987113,1713260655927,1713260032654,1713263039068,1713263104713,1713551583744,1713557005982,1713555395866,1713559081663,1713556389107,1713554567942,33,125,193
The Flys - Got You (Where I Want You).m4a,1698607991692,242.45,2024-12-02 17:43:52,30,10,3,1713261289252,1713263651745,1713262821350,1713260630399,1713262628665,1713553451080,1713557075764,1713555455248,1713558208316,1713552851826,1713553562078,61,78,106
The Folk Implosion - Natural One.m4a,1698604674435,189.46,2024-12-02 17:43:57,30,10,3,1713268322107,1713259077531,1713261071345,1713261023268,1713263980307,1713555150294,1713556561255,1713557627967,1713552608789,1713555491577,1713559052849,98,139,165
The Goo Goo Dolls - Black Balloon.m4a,1698595283768,250.07,2024-12-02 17:44:01,30,10,3,1713261211187,1713268558945,1713262434695,1713265595335,1713263377844,1713556509207,1713555995252,1713553594913,1713552885593,1713557058761,1713555284584,103,208,231
The Goo Goo Dolls - Dizzy.m4a,1698604530985,161.03,2024-12-02 17:44:05,30,10,3,1713269281352,1713260795686,1713261515709,1713264258908,1713260430014,1713553144137,1713558378920,1713553547852,1713553532840,1713555277764,1713554298607,51,82,143
The Goo Goo Dolls - Iris.m4a,1698597942010,289.56,2024-12-02 17:44:10,30,10,3,1713265078860,1713266205164,1713261339805,1713263794971,1713262376923,1713553687052,1713555856788,1713555770064,1713554423783,1713556795172,1713555697504,136,189,192
The Goo Goo Dolls - Lazy Eye.m4a,1698598563873,224.87,2024-12-02 17:44:15,30,10,3,1713264526953,1713262377432,1713265722266,1713268739367,1713264767346,1713557790262,1713559881215,1713559648386,1713555985841,1713558479409,1713556271809,100,126,196
The Goo Goo Dolls - Long Way Down.m4a,1698615143817,208.98,2024-12-02 17:44:20,30,10,3,1713269896491,1713266545993,1713264839248,1713270145211,1713262134394,1713559611783,1713559840194,1713559924369,1713554051061,1713556902692,1713560032507,92,100,185
The Goo Goo Dolls - Naked.m4a,1698610004494,223.86,2024-12-02 17:44:24,30,10,3,1713263397470,1713262881325,1713263347170,1713263408462,1713262258871,1713560442586,1713554519099,1713556393843,1713560288689,1713556828331,1713554818862,67,103,127
The Goo Goo Dolls - Name.m4a,1698611399620,269.97,2024-12-02 17:44:29,30,10,3,1713266398929,1713262984515,1713265167881,1713266747178,1713265379609,1713558868722,1713555453311,1713554877495,1713554320145,1713557679618,1713558817241,145,225,254
The Goo Goo Dolls - Slide.m4a,1698605934386,212.67,2024-12-02 17:44:33,30,10,3,1713271616860,1713265449457,1713262410400,1713264331079,1713265564506,1713556283427,1713559876660,1713556890052,1713560992186,1713558239757,1713560379757,70,120,178
The Jayhawks - Waiting for the Sun.m4a,1698616089559,259.25,2024-12-02 17:44:38,30,10,3,1713271254740,1713265022111,1713271244470,1713263502458,1713272238708,1713559883867,1713559849333,1713557174042,1713557500372,1713555387933,1713555820787,102,129,229
The Jeff Healey Band - Cruel Little Number.m4a,1698618387824,275.53,2024-12-02 17:44:42,30,10,3,1713265039095,1713264085370,1713264596864,1713269024701,1713266243706,1713554821589,1713558001892,1713558323731,1713556029587,1713560546050,1713561464986,39,84,219
The Jeff Healey Band - Full Circle.m4a,1698608587109,253.07,2024-12-02 17:44:48,30,10,3,1713266485882,1713267743786,1713264303974,1713265741484,1713269231611,1713555983879,1713555591838,1713558753128,1713558559050,1713560274697,1713558430943,81,99,121
The Jeff Healey Band - I Think I Love You Too Much.m4a,1698617353363,386.96,2024-12-02 17:44:53,30,10,3,1713272648545,1713266478092,1713265485157,1713272497940,1713267364237,1713562100671,1713557755021,1713560528533,1713554922799,1713558884401,1713560773951,138,284,341
The Jeff Healey Band - While My Guitar Gently Weeps.m4a,1698615961513,315.67,2024-12-02 17:44:58,30,10,3,1713273174850,1713265538028,1713265184794,1713273498235,1713273268491,1713554934394,1713561239631,1713558488783,1713560821826,1713558625246,1713555630040,40,278,287
The Jesus and Mary Chain - Far Gone and Out.m4a,1698624160596,171.31,2024-12-02 17:45:02,30,10,3,1713267565215,1713266713457,1713267234452,1713266557459,1713268021814,1713558409911,1713561151027,1713555715114,1713558083970,1713562588306,1713556465533,44,118,119
The Juliana Hatfield Three - My Sister.m4a,1698625607130,203.33,2024-12-02 17:45:07,30,10,3,1713267967040,1713269519864,1713268926756,1713266787987,1713266308101,1713558294677,1713558383682,1713560701991,1713561765231,1713559228446,1713562499089,55,55,167
The Lemonheads - Mrs. Robinson (2022 Remastered Edition).m4a,1698624054375,224.48,2024-12-02 17:45:11,30,10,3,1713268187809,1713266475634,1713274283707,1713271189221,1713274578244,1713559962908,1713561030652,1713557308514,1713561580660,1713556101562,1713561580658,37,59,128
The Mighty Mighty Bosstones - The Impression That I Get.m4a,1698619271853,195.2,2024-12-02 17:45:16,30,10,3,1713274823033,1713268316822,1713266715720,1713268420600,1713269711380,1713558618877,1713561181539,1713557421587,1713557649007,1713557060413,1713557245424,111,131,144
The Mighty Mighty Bosstones - The Rascal King.m4a,1698612498705,166.17000000000002,2024-12-02 17:45:20,30,10,3,1713275006045,1713269533451,1713269702084,1713267181695,1713267351725,1713559446772,1713562364924,1713562043456,1713559402905,1713563687212,1713556869315,64,75,151
The Nixons - Sister.m4a,1698625511804,268.8,2024-12-02 17:45:50,30,10,3,1713275972567,1713274912229,1713276565344,1713269188203,1713266690236,1713562710102,1713563110875,1713557070261,1713560829270,1713558851208,1713559460845,193,228,248
The Offspring - All I Want.m4a,1698633914066,114.67,2024-12-02 17:45:55,30,10,3,1713267716620,1713268362164,1713270472778,1713271612746,1713268818078,1713560416146,1713561241462,1713559984600,1713560495607,1713560807840,1713561225578,30,42,64
The Offspring - Come Out and Play (Keep 'Em Separated).m4a,1698619175061,197.8,2024-12-02 17:45:59,30,10,3,1713270098372,1713269269494,1713268057714,1713268799698,1713271348107,1713562383830,1713559586132,1713557001309,1713560065434,1713563219474,1713562077522,52,58,142
The Offspring - Gone Away.m4a,1698626718208,268.83,2024-12-02 17:46:04,30,10,3,1713267882917,1713270899346,1713271079626,1713267892515,1713268278925,1713562873283,1713563305829,1713560334597,1713563862642,1713564366057,1713561873120,92,97,146
The Offspring - Gotta Get Away.m4a,1698625569134,232.16,2024-12-02 17:46:10,30,10,3,1713269545977,1713276494066,1713276770015,1713268134923,1713268403168,1713561198097,1713564116689,1713564863479,1713557521959,1713564198837,1713561633368,97,194,217
The Offspring - I Choose.m4a,1698636718948,234.67,2024-12-02 17:46:14,30,10,3,1713276534449,1713276296557,1713270109955,1713268538115,1713272044178,1713561531895,1713557833695,1713564405225,1713558455400,1713561436772,1713563970857,73,159,179
The Offspring - Pretty Fly (For a White Guy).m4a,1698626226131,188.67,2024-12-02 17:46:18,30,10,3,1713278344403,1713269821626,1713269411069,1713269795879,1713269358166,1713557965658,1713564056411,1713563554829,1713558078155,1713560929371,1713563963631,54,108,136
The Offspring - Self Esteem.m4a,1698634819086,257.83,2024-12-02 17:46:23,30,10,3,1713268708539,1713270721955,1713269728200,1713271324657,1713277621536,1713558940670,1713565441612,1713558195944,1713558494115,1713561400585,1713565631966,61,116,148
The Offspring - She's Got Issues.m4a,1698627359203,228.65,2024-12-02 17:46:28,30,10,3,1713269116636,1713272776213,1713270418925,1713273728811,1713273107820,1713564836554,1713562430084,1713565084149,1713562079378,1713559362623,1713564013902,78,87,195
The Offspring - The Kids Aren't Alright.m4a,1698625859070,180.16,2024-12-02 17:46:33,30,10,3,1713272015482,1713271804600,1713270398255,1713273710322,1713272289331,1713559372670,1713564532274,1713559938405,1713561493884,1713562026141,1713566161491,49,113,149
The Offspring - Why Don't You Get a Job.m4a,1698644413947,172.47,2024-12-02 17:46:37,30,10,3,1713277909387,1713279483887,1713274741250,1713274693437,1713277693543,1713565144673,1713562607203,1713565624239,1713562557572,1713563557448,1713561493219,37,43,135
The Posies - Dream All Day.m4a,1698646184950,184.43,2024-12-02 17:46:42,30,10,3,1713272978024,1713277638496,1713271034008,1713273141183,1713278888998,1713562844695,1713566419193,1713564553312,1713564650302,1713563137780,1713563516636,69,104,170
The Presidents of the United States of America - Lump.m4a,1698640940481,134.2,2024-12-02 17:46:47,30,10,3,1713271988893,1713274384382,1713271746426,1713280278271,1713272219825,1713565652958,1713559954873,1713561176576,1713563317780,1713564940658,1713568105397,76,85,93
The Presidents of the United States of America - Mach 5.m4a,1698642279818,196.2,2024-12-02 17:46:52,30,10,3,1713272192810,1713274616556,1713271947706,1713272780756,1713271785157,1713565071826,1713568136862,1713562672292,1713566317663,1713560202733,1713566706577,69,149,160
The Presidents of the United States of America - Peaches.m4a,1698636628181,171.69,2024-12-02 17:46:57,30,10,3,1713271417491,1713273352453,1713272598898,1713273738877,1713280264725,1713566509815,1713562250388,1713565742068,1713563342032,1713565885357,1713566901083,31,77,92
The Prodigy - Breathe.m4a,1698637480123,336.28,2024-12-02 17:47:03,30,10,3,1713282153106,1713272382238,1713272118044,1713273255678,1713272468951,1713565509047,1713564375997,1713562280796,1713565311648,1713565072599,1713566120557,147,166,247
The Prodigy - Smack My Bitch Up.m4a,1698645522535,343.39,2024-12-02 17:47:08,30,10,3,1713276448473,1713275838782,1713284301566,1713273836852,1713280441798,1713566394598,1713564351660,1713565280938,1713567035904,1713566550233,1713562532836,48,102,212
The Robert Cray Band - The Forecast (Calls for Pain) [feat. The Memphis Horns].m4a,1698654477241,241.37,2024-12-02 17:47:13,30,10,3,1713280525357,1713273346873,1713276176556,1713273236485,1713280641460,1713562895329,1713562919531,1713564515786,1713566778598,1713566072626,1713565936476,149,157,215
The Rolling Stones - Almost Hear You Sigh.m4a,1698632793096,277.47,2024-12-02 17:47:18,30,10,3,1713277933221,1713275720636,1713282584521,1713274153843,1713275313171,1713567846040,1713566382764,1713564105420,1713569390314,1713564597407,1713564611512,47,92,132
The Rolling Stones - Highwire (2009 Remaster).m4a,1698657340508,285.93,2024-12-02 17:47:22,30,10,3,1713275099364,1713277758698,1713275327492,1713278145164,1713285563061,1713566557762,1713563723511,1713567164644,1713567241536,1713567772731,1713563835983,66,144,226
The Rolling Stones - Terrifying.m4a,1698652832773,293.84000000000003,2024-12-02 17:47:27,30,10,3,1713285627973,1713277494707,1713273918759,1713286136434,1713281200167,1713563445253,1713567637471,1713564837440,1713567462936,1713564904640,1713565079626,35,101,256
The Rolling Stones - You Got Me Rocking.m4a,1698860548526,215.41,2024-12-02 17:47:31,30,10,3,1713278539003,1713277182471,1713286338566,1713275938892,1713275430095,1713564110106,1713562034183,1713564229888,1713568182942,1713565108772,1713568472601,75,84,116
The Smashing Pumpkins - 1979.m4a,1698870345500,266.2,2024-12-02 17:47:35,30,10,3,1713276111921,1713284476699,1713282166987,1713282215395,1713282795835,1713566377707,1713565566361,1713564057131,1713567421250,1713566118207,1713566478156,30,54,109
The Smashing Pumpkins - Ava Adore.m4a,1698868298008,270.9,2024-12-02 17:47:39,30,10,3,1713282172468,1713279323886,1713277099100,1713276968634,1713276652446,1713565240531,1713565929270,1713565655898,1713567187167,1713567807702,1713569299075,32,188,236
The Smashing Pumpkins - Bullet with Butterfly Wings.m4a,1698868136760,258.49,2024-12-02 17:47:43,30,10,3,1713277996778,1713276834288,1713277552104,1713283775442,1713279513524,1713571274030,1713564515682,1713568934325,1713564961622,1713568931439,1713566994264,67,108,190
The Smashing Pumpkins - Cherub Rock.m4a,1698865307315,297.36,2024-12-02 17:47:48,30,10,3,1713277388672,1713277712426,1713284893638,1713277813971,1713276685484,1713565663155,1713567289329,1713568019701,1713565302452,1713564890312,1713569418516,68,106,279
The Smashing Pumpkins - Disarm.m4a,1698870212524,196.91,2024-12-02 17:47:53,30,10,3,1713287733217,1713281250041,1713277275809,1713281075902,1713284788369,1713568809245,1713564866053,1713564565488,1713569284029,1713571655423,1713568717444,38,162,168
