208,Santeria,Sublime,1,1997
209,I Will Buy You A New Life,Everclear,1,1998
210,Disarm,The Smashing Pumpkins,2,1994
211,Way Down Now,World Party,1,1990
212,Mother Mother,Tracy Bonham,1,1996
213,Good Clean Fun,The Allman Brothers Band,2,1990
214,Keep Talking,Pink Floyd,1,1994
215,The Chemicals Between Us,Bush,1,1999
216,Pride And Joy,Coverdale/Page,1,1993
217,Dangerous,The Doobie Brothers,2,1991
218,Hole Hearted,Extreme,1,1991
219,Whatever,Godsmack,3,1999
220,Longview,Green Day,2,1994
221,Anytime,McAuley Schenker Group,1,1990
222,#1 Crush,Garbage,1,1996
223,Gone Away,The Offspring,1,1997
224,Lump,The Presidents Of The United States Of America,2,1995
225,Found Out About You,Gin Blossoms,1,1994
226,The Down Town,Days Of The New,1,1998
227,The Distance,Cake,2,1996
228,Slide,Goo Goo Dolls,2,1998
229,Misery,Soul Asylum,1,1995
230,Gotta Get Away,The Offspring,2,1995
231,Hunger Strike,Temple Of The Dog,1,1992
232,Battle Flag,Lo Fidelity Allstars Featuring Pigeonhed,1,1999
233,Lakini's Juice,Live,1,1997
234,See The Lights,Simple Minds,1,1991
235,American Woman,Lenny Kravitz,2,1999
236,When Worlds Collide,Powerman 5000,1,1999
237,Intergalactic,Beastie Boys,1,1998
238,Twice As Hard,The Black Crowes,1,1990
239,Bound For The Floor,Local H,2,1996
240,Type,Living Colour,1,1990
241,Falling Away From Me,KoRn,2,1999
242,Learning To Fly,Tom Petty And The Heartbreakers,1,1991
243,Listen,Collective Soul,1,1997
244,Stand Up (Kick Love Into Motion),Def Leppard,1,1993
245,Malibu,Hole,2,1999
246,You Don't Know How It Feels,Tom Petty,2,1994
247,Kings Highway,Tom Petty And The Heartbreakers,1,1992
248,Angry Johnny,Poe,1,1996
249,This Is A Call,Foo Fighters,1,1995
250,Seeing Things,The Black Crowes,1,1991
251,Texas Twister,Little Feat,1,1990
252,Connection,Elastica,2,1995
253,Keep The Faith,Bon Jovi,2,1992
254,Brick,Ben Folds Five,3,1998
255,Guerrilla Radio,Rage Against The Machine,2,1999
256,One And Only Man,Steve Winwood,1,1990
257,Circles,Soul Coughing,5,1998
258,Space Lord,Monster Magnet,1,1998
